"Name","Domain","Tier","Status","Typefaces","Notes"
"205TF","205.tf","okay","Issues","","In index map but no data file"
"a.Foundry","a-foundry.com","best","Indexed with images","8",""
"Aeonik","aeonik.co.uk","best","Issues","","redirects to CoType; CoType is JS-rendered"
"AlfaType Fonts Foundry","alfatypefonts.com","loose","Not tried","",""
"AllCaps","allcapstype.com","best","Indexed with images","10",""
"Almarena Foundry - Try & Buy Quality Fonts & Typefaces","almarenafoundry.com","best","Indexed with images","9",""
"ALT.tf","alt-tf.com","okay","Not tried","",""
"Arillatype.Studio®","arillatype.studio","best","Indexed with images","25",""
"Arkitype","arkitype.co","best","Indexed with images","20",""
"atipo foundry","atipofoundry.com","best","Issues","","In index map but no data file"
"ATYPICAL","atypical.gr","loose","Not tried","",""
"Bad Type Club","badtype.club","loose","Not tried","",""
"Balto","typesupply.com","okay","Indexed with images","11",""
"Bastarda","bastardatype.com","best","Indexed with images","17",""
"bb-bureau","bb-bureau.fr","loose","Not tried","",""
"Beržulis","berzulis.com","okay","Not tried","",""
"Big Fog Foundry","foundry.bigfog.co","okay","Indexed with images","4",""
"Binnenland Typefaces","binnenland.ch","best","Indexed with images","10",""
"Blast Foundry","blast-foundry.com","loose","Not tried","",""
"Blaze: French Type Design foundry 🔥 We design fonts for...","blazetype.eu","best","Indexed with images","110",""
"Bold Monday - independent font foundry of high quality type","boldmonday.com","okay","Indexed with images","37",""
"Brandon Nickerson","bnicks.com","okay","Not tried","",""
"British Standard Type","britishstandardtype.xyz","best","Indexed with images","6",""
"Bureau Brut","bureaubrut.com","best","Indexed with images","16",""
"Buy fonts from your favorite indie foundries.…","fonts.ilovetypography.com","okay","Not tried","",""
"Camelot Typefaces","camelot-typefaces.com","best","Indexed with images","9",""
"Catalogue","fonts.floriankarsten.com","best","Indexed with images","10",""
"Cinta Mundo @ SUPERCONTINENTE","supercontinente.com","loose","Not tried","",""
"Claude Type","claudetype.com","loose","Not tried","",""
"Collletttivo","collletttivo.it","loose","Not tried","",""
"Colophon","colophon-foundry.org","best","Not tried","",""
"Colt Type Co","wearecolt.com","okay","Indexed with images","19",""
"Commercial Classics » Catalogue","commercialclassics.com","okay","Issues","","In index map but no data file"
"Commercial Type","commercialtype.com","okay","Indexed with images","91",""
"Connary Fagen, Inc.","connary.com","okay","Indexed with images","44",""
"Contemporary Type","contemporarytype.com","okay","Not tried","",""
"Coppers and Brasses","coppersandbrasses.com","okay","Indexed with images","10",""
"CoType Foundry","cotypefoundry.com","best","Issues","","JS-rendered, no crawlable listing"
"Dalton Maag","daltonmaag.com","best","Indexed with images","77",""
"Darden Studio - Font Foundry - Type Design - Font Licensing","dardenstudio.com","okay","Indexed with images","8",""
"degarism","degarism.com","okay","Not tried","",""
"Dharma Type - Dharma Gothic","dharmatype.com","okay","Indexed with images","128",""
"Dinamo Typefaces","abcdinamo.com","best","Issues","","In index map but no data file"
"Discover Zarma Type products on Supply.Family","supply.family","best","Issues","","reseller aggregator, not a single foundry page"
"Displaay Type Foundry","displaay.net","best","Issues","","In index map but no data file"
"Dot Colon ドットコロン","dotcolon.net","okay","Not tried","",""
"Double Dagger","doubledagger.xyz","okay","Indexed with images","14",""
"DSType Foundry","dstype.com","notgood","Not tried","",""
"Dutype","dutypefoundry.com","best","Not tried","",""
"East of Rome","eastofrome.com","okay","Indexed with images","13",""
"Emigre Home","emigre.com","notgood","Not tried","",""
"En Travaux","entravaux.framer.website","notgood","Not tried","",""
"exljbris Font Foundry","exljbris.com","notgood","Not tried","",""
"Extraset","extraset.ch","best","Indexed with images","15",""
"F37® Foundry","f37foundry.com","okay","Issues","","In index map but no data file"
"Fable","fable.design","best","Indexed with images","9",""
"Faire Type","fairetype.com","best","Indexed with images","6",""
"Family Type","familytype.co","best","Not tried","",""
"Fatype","fatype.com","best","Indexed with images","7",""
"FOLCH","folchstudio.com","okay","Not tried","",""
"Font & Technology Specialists","monotype.com","okay","Not tried","",""
"Font Bureau on Type Network","fontbureau.typenetwork.com","okay","Not tried","",""
